"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"देवणी","पिवळा","क्विंटल","2","4000","4000","4000"
"12/09/2025","","","","","",""
"अहिल्यानगर","---","क्विंटल","6","4200","4250","4225"
"येवला","---","क्विंटल","16","4328","4328","4328"
"लासलगाव","---","क्विंटल","700","3700","4380","4340"
"लासलगाव - विंचूर","---","क्विंटल","305","3000","4466","4350"
"नांदेड","---","क्विंटल","12","4150","4215","4215"
"माजलगाव","---","क्विंटल","70","3900","4300","4250"
"राहूरी -वांबोरी","---","क्विंटल","11","4000","4231","4115"
"पुसद","---","क्विंटल","150","3850","4280","4150"
"उदगीर","---","क्विंटल","1672","4300","4401","4350"
"कारंजा","---","क्विंटल","800","4010","4360","4290"
"अचलपूर","---","क्विंटल","20","4000","4225","4110"
"परळी-वैजनाथ","---","क्विंटल","184","4279","4290","4285"
"रिसोड","---","क्विंटल","510","3920","4285","4102"
"मानोरा","---","क्विंटल","111","3601","4452","4180"
"तुळजापूर","डॅमेज","क्विंटल","77","4201","4201","4201"
"पिंपळगाव(ब) - पालखेड","हायब्रीड","क्विंटल","151","2000","4501","4425"
"अमरावती","लोकल","क्विंटल","666","3750","4150","3950"
"नागपूर","लोकल","क्विंटल","32","4000","4121","4091"
"राहूरी","लोकल","क्विंटल","5","3725","3725","3725"
"हिंगोली","लोकल","क्विंटल","300","3855","4355","4105"
"कोपरगाव","लोकल","क्विंटल","163","4140","4390","4350"
"मेहकर","लोकल","क्विंटल","220","3800","4325","4200"
"लासलगाव - निफाड","पांढरा","क्विंटल","48","3711","4316","4286"
"लातूर -मुरुड","पिवळा","क्विंटल","50","3900","4311","4100"
"जालना","पिवळा","क्विंटल","587","3051","4250","4200"
"अकोला","पिवळा","क्विंटल","590","4000","4405","4355"
"यवतमाळ","पिवळा","क्विंटल","196","4000","4320","4160"
"परभणी","पिवळा","क्विंटल","95","4300","4350","4325"
"आर्वी","पिवळा","क्विंटल","85","3000","4300","4050"
"चिखली","पिवळा","क्विंटल","57","3750","4321","4000"
"हिंगणघाट","पिवळा","क्विंटल","618","3100","4350","3600"
"बीड","पिवळा","क्विंटल","53","4100","4311","4237"
"वाशीम - अनसींग","पिवळा","क्विंटल","300","4200","4450","4350"
"वर्धा","पिवळा","क्विंटल","11","4250","4250","4250"
"मुर्तीजापूर","पिवळा","क्विंटल","340","4000","4405","4205"
"अजनगाव सुर्जी","पिवळा","क्विंटल","15","3500","4751","4200"
"खामगाव","पिवळा","क्विंटल","1159","3500","4595","4048"
