"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"सावनेर","पिवळा","क्विंटल","3","4000","4180","4180"
"जामखेड","पिवळा","क्विंटल","15","4000","4200","4100"
"गेवराई","पिवळा","क्विंटल","14","3700","4291","4000"
"गंगाखेड","पिवळा","क्विंटल","10","5350","5450","5400"
"चांदूर बझार","पिवळा","क्विंटल","165","3300","4350","3890"
"दर्यापूर","पिवळा","क्विंटल","300","3500","4405","4200"
"देउळगाव राजा","पिवळा","क्विंटल","5","4200","4200","4200"
"लोणार","पिवळा","क्विंटल","152","4100","4300","4225"
"आंबेजोबाई","पिवळा","क्विंटल","300","4000","4401","4350"
"किल्ले धारुर","पिवळा","क्विंटल","13","3800","4351","4200"
"केज","पिवळा","क्विंटल","24","4200","4400","4400"
"औसा","पिवळा","क्विंटल","393","3501","4521","4367"
"चाकूर","पिवळा","क्विंटल","40","4241","4301","4273"
"औराद शहाजानी","पिवळा","क्विंटल","163","4225","4351","4288"
"कळंब (धाराशिव)","पिवळा","क्विंटल","249","2501","4450","4400"
"मुरुम","पिवळा","क्विंटल","11","4350","4350","4350"
"उमरगा","पिवळा","क्विंटल","4","3400","4000","3820"
"सेनगाव","पिवळा","क्विंटल","64","4000","4300","4200"
"मंगरुळपीर","पिवळा","क्विंटल","1035","3900","4475","4250"
"मंगळूरपीर - शेलूबाजार","पिवळा","क्विंटल","332","3800","4590","4385"
"चांदूर-रल्वे.","पिवळा","क्विंटल","39","4300","4450","4400"
"नादगाव खांडेश्वर","पिवळा","क्विंटल","34","4050","4290","4170"
"नांदूरा","पिवळा","क्विंटल","150","3850","4421","4421"
"शेगाव","पिवळा","क्विंटल","8","3000","4300","3380"
"सिंदखेड राजा","पिवळा","क्विंटल","16","3900","4300","4100"
"नेर परसोपंत","पिवळा","क्विंटल","59","3100","4285","3958"
"बाभुळगाव","पिवळा","क्विंटल","90","4001","4630","4351"
"काटोल","पिवळा","क्विंटल","68","3900","4261","4120"
"सिंदी(सेलू)","पिवळा","क्विंटल","17","4150","4300","4250"
"वाशी (धाराशिव)","पिवळा","क्विंटल","12","4210","4630","4380"
